0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
,,,,,TOTAL,201572700,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,Bayar tgl : 02 Maret 2026,,,,,,,,BRI,,,,,,
,,,,,,,,Bayar tgl : 19 Februari 2026,,,,,,,,,,,,,,,,NO Rek:,013001002256309,,,,,
Terlampir bukti-bukti pendukung pembayaran ini,,,,,,,,,,,,,,,,,,,,,,,,a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,
Mohon Transfer ke:,,,,,,,,,,,,,,,,,,,,,,,,Bayar tgl : 16 Maret 2026,,,,,,
BRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO Rek:,013001002256309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a/n ,PT. HIJAU SEJAHTERA BERSAMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayar tgl : 09 Februari 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah,,No,Tanggal,,Keterangan,,,Jumlah
1,026,Ongkos Angkut AMP LPG/12-14 FEB 2026,,,,100750000,,1,050,Ongkos Angkut AMP LPG/9 APR 2026,,,,15500000,,1,057,Ongkos Angkut AMP LPG/13 APR 2026,,,,15500000,,1,077,Ongkos Angkut WMK LPG/APR 2026,,,,12000000
,,PPh 23 ,,8012600051874865.0,18/02/2026,-2015000,,,,PPh 23 ,,8002600128379788.0,14/04/2026,-310000,,,,PPh 23 ,,8002600133516529.0,16/04/2026,-310000,,,,PPh 23 ,,8002600151713875.0,02/05/2026,-240000
,,SUSUT AMP/764 L,,,,-11574600,,,,SUSUT AMP/121 L,,,,-3575550,,,,SUSUT AMP/94 L,,,,-2777700,,2,081,Ongkos Angkut AMP BKI/MEI 2026,,,,20000000
4,,,,,,,,2,051,Ongkos Angkut AMP LPG/9 APR 2026,,,,7750000,,2,058,Ongkos Angkut AMP LPG/13 APR 2026,,,,15500000,,,,PPh 23 ,,8002600163793118.0,08/05/2026,-400000
,,,,,,,,,,PPh 23 ,,8002600128406659.0,14/04/2026,-155000,,,,PPh 23 ,,8002600133519566.0,16/04/2026,-310000,,3,083,Ongkos Angkut WMK LPG/MEI 2026,,,,6000000
,,,,,,,,,,SUSUT AMP/74 L,,,,-2186700,,,,SUSUT AMP/176 L,,,,-5200800,,,,PPh 23 ,,8002600163811278.0,08/05/2026,-120000
,,,,,,,,3,052,Ongkos Angkut AMP LPG/9 APR 2026,,,,7750000,,3,059,Ongkos Angkut AMP LPG/13 APR 2026,,,,15500000,,,,,,,,
,,,,,,,,,,PPh 23 ,,8002600128427829.0,14/04/2026,-155000,,,,PPh 23 ,,8002600133522537.0,16/04/2026,-310000,,,,,,,,
,,,,,TOTAL,87160400,,4,053,Ongkos Angkut AMP LPG/9 APR 2026,,,,7750000,,4,060,Ongkos Angkut AMP LPG/13 APR 2026,,,,7750000,,,,,,,,
,,,,,,,,,,PPh 23 ,,8002600128450988.0,14/04/2026,-155000,,,,PPh 23 ,,8002600133525498.0,16/04/2026,-155000,,,,,,,TOTAL,37240000
